Model,ROC AUC (CV),ROC AUC (Test),CV Time (s),Final Fit Time (s)
RF,0.9786400000000001,0.8401639344262295,2.2520549297332764,0.6039047241210938
SVM,0.9723700000000001,0.8459016393442623,0.3557271957397461,0.2807319164276123
MLP2,0.7992750000000001,0.7622950819672132,0.6914422512054443,0.3563849925994873
MLP4,0.8788050000000001,0.7172131147540983,1.2732460498809814,0.6554877758026123
MLP6,0.9364100000000001,0.8131147540983606,1.3055381774902344,0.8386659622192383
MLP8,0.9429399999999999,0.7532786885245901,1.5109879970550537,1.0846490859985352
3NN,0.9918650000000001,0.8528688524590164,0.05860304832458496,0.0012409687042236328
5NN,0.9947250000000001,0.8524590163934425,0.025645732879638672,0.001474142074584961
10NN,0.9892800000000002,0.8352459016393442,0.03863096237182617,0.001110076904296875
15NN,0.9831099999999999,0.8122950819672131,0.037072181701660156,0.0013530254364013672
